env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,mobilenet_v2,128,0,193.59,661.20,1763160024.1694
envA,cuda,mobilenet_v2,128,1,85.39,1498.94,1763160024.3639183
envA,cuda,mobilenet_v2,128,2,193.34,662.05,1763160024.5574448
envA,cuda,mobilenet_v2,128,3,193.25,662.34,1763160024.7508974
envA,cuda,mobilenet_v2,128,4,193.91,660.09,1763160024.945014
envA,cuda,mobilenet_v2,128,5,193.45,661.68,1763160025.1387124
envA,cuda,mobilenet_v2,128,6,193.16,662.67,1763160025.3320045
envA,cuda,mobilenet_v2,128,7,193.95,659.95,1763160025.5261867
envA,cuda,mobilenet_v2,128,8,192.98,663.29,1763160025.7194285
envA,cuda,mobilenet_v2,128,9,193.46,661.63,1763160025.9130964
envA,cuda,mobilenet_v2,128,10,193.54,661.36,1763160026.106826
envA,cuda,mobilenet_v2,128,11,86.05,1487.50,1763160026.3019304
envA,cuda,mobilenet_v2,128,12,193.53,661.38,1763160026.4957168
envA,cuda,mobilenet_v2,128,13,193.53,661.40,1763160026.6894531
envA,cuda,mobilenet_v2,128,14,193.24,662.38,1763160026.8829296
envA,cuda,mobilenet_v2,128,15,193.82,660.42,1763160027.0769594
envA,cuda,mobilenet_v2,128,16,193.54,661.35,1763160027.2707043
envA,cuda,mobilenet_v2,128,17,193.62,661.09,1763160027.4645379
envA,cuda,mobilenet_v2,128,18,192.87,663.67,1763160027.6575966
envA,cuda,mobilenet_v2,128,19,194.61,657.73,1763160027.8524055
envA,cuda,mobilenet_v2,128,20,192.40,665.30,1763160028.0449421
envA,cuda,mobilenet_v2,128,21,85.27,1501.11,1763160028.2396328
envA,cuda,mobilenet_v2,128,22,194.63,657.66,1763160028.434491
envA,cuda,mobilenet_v2,128,23,192.74,664.11,1763160028.6274366
envA,cuda,mobilenet_v2,128,24,194.08,659.54,1763160028.8216884
envA,cuda,mobilenet_v2,128,25,194.02,659.72,1763160029.0159733
envA,cuda,mobilenet_v2,128,26,193.33,662.08,1763160029.2095337
envA,cuda,mobilenet_v2,128,27,193.88,660.22,1763160029.4036398
envA,cuda,mobilenet_v2,128,28,193.57,661.25,1763160029.5974116
envA,cuda,mobilenet_v2,128,29,192.85,663.73,1763160029.7905066
envA,cuda,mobilenet_v2,128,30,194.86,656.89,1763160029.9855976
envA,cuda,mobilenet_v2,128,31,86.28,1483.47,1763160030.1800764
envA,cuda,mobilenet_v2,128,32,192.35,665.47,1763160030.3726442
envA,cuda,mobilenet_v2,128,33,193.95,659.97,1763160030.5667956
envA,cuda,mobilenet_v2,128,34,193.55,661.34,1763160030.760547
envA,cuda,mobilenet_v2,128,35,194.87,656.85,1763160030.955615
envA,cuda,mobilenet_v2,128,36,193.82,660.39,1763160031.1496413
envA,cuda,mobilenet_v2,128,37,192.83,663.79,1763160031.3426166
envA,cuda,mobilenet_v2,128,38,193.53,661.38,1763160031.5363793
envA,cuda,mobilenet_v2,128,39,193.66,660.96,1763160031.7302947
envA,cuda,mobilenet_v2,128,40,193.57,661.25,1763160031.9240549
envA,cuda,mobilenet_v2,128,41,85.49,1497.20,1763160032.1190155
envA,cuda,mobilenet_v2,128,42,194.41,658.41,1763160032.3136134
envA,cuda,mobilenet_v2,128,43,193.28,662.26,1763160032.5071013
envA,cuda,mobilenet_v2,128,44,193.49,661.53,1763160032.700792
envA,cuda,mobilenet_v2,128,45,193.46,661.63,1763160032.8944569
envA,cuda,mobilenet_v2,128,46,193.61,661.13,1763160033.0882912
envA,cuda,mobilenet_v2,128,47,194.49,658.15,1763160033.2830033
envA,cuda,mobilenet_v2,128,48,194.46,658.22,1763160033.4776418
envA,cuda,mobilenet_v2,128,49,193.19,662.55,1763160033.6710153
envA,cuda,mobilenet_v2,128,50,193.98,659.88,1763160033.8652067
envA,cuda,mobilenet_v2,128,51,85.07,1504.64,1763160034.0598323
envA,cuda,mobilenet_v2,128,52,193.84,660.34,1763160034.2538893
envA,cuda,mobilenet_v2,128,53,194.17,659.22,1763160034.44825
envA,cuda,mobilenet_v2,128,54,193.09,662.90,1763160034.6415591
envA,cuda,mobilenet_v2,128,55,193.01,663.19,1763160034.8351977
envA,cuda,mobilenet_v2,128,56,193.37,661.96,1763160035.0286837
envA,cuda,mobilenet_v2,128,57,194.27,658.88,1763160035.2230735
envA,cuda,mobilenet_v2,128,58,193.12,662.80,1763160035.416312
envA,cuda,mobilenet_v2,128,59,193.73,660.70,1763160035.610155
envA,cuda,mobilenet_v2,128,60,192.96,663.37,1763160035.8032246
envA,cuda,mobilenet_v2,128,61,84.84,1508.72,1763160035.9971924
envA,cuda,mobilenet_v2,128,62,193.44,661.72,1763160036.1907456
envA,cuda,mobilenet_v2,128,63,207.90,615.67,1763160036.398761
